name,description,occupation,main_category,instagram_talent,youtube_talent,goal,facebook,tiktok,x_twitter,linkedin,talent_card_image_url,talent_profile_image_url,club,city,prize1,prize2,prize3,prize4,prize5,main_nationality,birthdate,card_video
adkawcak,"Aaron Kawcak is an American adventurer and extreme sports enthusiast known for his diverse pursuits, including paragliding, kiteboarding, snowboarding, and cliff jumping. Originally from Craig, Colorado, he has demonstrated resilience and passion for outdoor activities. After recovering from a broken neck, Kawcak transitioned into coaching, contributing to the Steamboat Springs Winter Sports Club. His adventures have been featured in various media outlets, highlighting his commitment to living life to the fullest. Kawcak actively shares his experiences on social media platforms, inspiring others to embrace adventure and the outdoors.",Adventurer,Adventure,adkawcak,,,aaron.kawcak,,,,https://media.peaxel.me/42.png,https://media.peaxel.me/41.png,Steamboat Springs Winter Sports Club,Craig,,,,,,🇺🇸 United States,1988-03-24,https://media.peaxel.me/adkawcak.mp4
alex_boltasu,"Alexandru Boltasu, born in 2007, is a Romanian racing driver who began his motorsport journey in 2020 at the age of 13. Starting in the Mini category, he quickly showcased his talent and dedication. In 2021, Alex advanced to the Junior category, securing third place in two national championships. The following year, he faced the challenge of competing against senior drivers, honing his skills and racecraft. In 2023, with the support of Toka Racing, Alex clinched the national championship title, finishing first out of 30 drivers. That same year, he ventured into auto racing, participating in two races and achieving a podium finish. In 2024, Alex continued to excel, placing seventh in the Rotax Max Challenge Grand Finals, third in the Swedish National Championship, and fourth in the Romanian Open Cup KZ2 category. His rapid progression and consistent performances have established him as a promising talent in the Romanian motorsport scene.",Car racing,Motor Sports,alex_boltasu,,⭐ Be The Best In Car racing,,,,,https://media.peaxel.me/162.png,https://media.peaxel.me/161.png,Toka Racing,Bucharest,"National Champion, Romanian Karting Championship - 2023","7th Place, Rotax Max Challenge Grand Finals - 2024","3rd Place, Swedish National Championship - 2024","4th Place, Romanian Open Cup KZ2 - 2024","Podium Finish, Romanian Endurance Series Round 1 - 2023",🇷🇴 Romania,,
alisteryoong,"Alister Yoong, born in 2003, is a Malaysian racing driver following in the footsteps of his father, former Formula 1 driver Alex Yoong. He began his motorsport journey at the age of 13, later than many of his peers, but quickly demonstrated his passion and skill on the track. Alister made his single-seater debut in the Formula 4 South East Asia Championship during the 2017-2018 season, securing his first win in 2019. In 2020, he expressed ambitions to compete in Europe, aiming to win championships in Asia to build his credentials and attract sponsorships. By 2022, Alister had progressed to touring car racing, making his debut in the Super Sporting Class of the Toyota GAZOO Racing Festival and Vios Challenge Season 5. Despite being new to touring cars, he showcased his adaptability and competitiveness, aiming for top-five finishes and ultimately striving for victories. Alister's journey reflects his dedication to motorsport and his desire to carve out his own identity in the racing world.
  ",Car racing,Motor Sports,alisteryoong,,⭐ Be The Best In Car racing,,,,,https://media.peaxel.me/48.png,https://media.peaxel.me/47.png,Axle Sports,Kuala Lumpur,Multiple Podium Finishes in Formula 4 SEA,First Formula 4 SEA Race Win,,,,🇲🇾 Malaysia,2003-01-10,https://media.peaxel.me/alisteryoong.mp4
aminekaiza,"Amine Kettary, known in the gaming community as 'KaiZa,' is a prominent Moroccan professional gamer and content creator specializing in FIFA. He began his gaming career as a professional FIFA player, representing Morocco in various international competitions. Transitioning to content creation, Amine has built a substantial online presence, streaming gameplay and engaging with a growing audience. He is recognized for his strategic insights and entertaining commentary, contributing significantly to the Moroccan gaming scene. Amine actively participates in national and international esports events, showcasing his skills and promoting the gaming culture in Morocco.",Gaming,Gaming,aminekaiza,AmineKaiZa,⭐ Be The Best In Gaming,,,,,https://media.peaxel.me/132.png,https://media.peaxel.me/131.png,MDJS E-Sport,Casablanca,Represented Morocco in FIFA eNations Cup – 2023,Achieved Top 8 in FIFA eNations Cup – 2023,Hosted '3ich l'game' gaming show on 2M TV – 2020,Built a substantial following on streaming platforms – 2024,Collaborated with prominent Moroccan artists in gaming events – 2021,🇲🇦 Morocco,1992-05-04,https://media.peaxel.me/aminekeiza.mp4
amyrainbowskates,"Amy Rainbow is a British artistic roller skater and instructor known for her dynamic performances and dedication to the sport. Beginning her skating journey at the age of eight at Rollerworld in Colchester, Amy quickly developed a passion that led her to compete in the UK figure and free skating championships seven times, securing the British Champion title from 2012 to 2015. Her talent also earned her a spot on the Great Britain team, allowing her to compete internationally for two consecutive years.\n\nBeyond competitions, Amy has transitioned into a role as an instructor, offering private lessons and masterclasses to skaters of all ages and skill levels. Her teaching emphasizes the joy and freedom that skating brings, aiming to make the sport accessible to everyone. Amy's influence extends to social media, where she shares tutorials, insights, and motivational content, inspiring a global community of skaters. Currently residing in Bali, Indonesia, Amy continues to engage with the skating world through online platforms and occasional in-person events. Her commitment to the sport and its community underscores her belief in skating as a form of therapy and self-expression.
 ",Artistic Roller Skating,Performances & Arts,amyrainbowskates,,⭐ Be The Best In Artistic Roller Skating,,amyrainbowskates,,,https://media.peaxel.me/amyrainbowskates_card.png,https://media.peaxel.me/amyrainbowskates_talent.png,Rollerworld Colchester,Ipswich,British Artistic Roller Skating Champion - 2012,British Artistic Roller Skating Champion - 2013,British Artistic Roller Skating Champion - 2014,British Artistic Roller Skating Champion - 2015,,🇬🇧 United Kingdom,2000-10-18,https://media.peaxel.me/amyrainbowskates_video.mp4
claudialeonkitesurf,"Claudia León Martínez, born on August 31, 2001, in Los Narejos, Murcia, Spain, is a professional kiteboarder who began her journey in the sport in 2011. Over the years, she has established herself as a formidable competitor in freestyle kiteboarding. Claudia has clinched the Junior World Champion title four times and secured a fourth-place finish in the GKA Kite World Tour freestyle category in the women's division. In 2022, she achieved a significant milestone by winning a GKA event in Saudi Arabia, marking one of the happiest moments in her career. Claudia's preferred training spots include the Taiba lagoon in Brazil, known for its extensive flat water and ideal wind conditions, and Drepano in Greece, which she discovered in 2023 and admired for its steady winds and picturesque landscapes. She also holds a special affection for her home spot, the Mar Menor in Murcia, Spain, especially during the spring season when the conditions are optimal for kiteboarding. Beyond her athletic pursuits, Claudia has a keen interest in computer development and enjoys planning new trips during her free time. Music is another passion, and she listens to various genres whenever possible. Her dedication to the sport and continuous pursuit of excellence make her a prominent figure in the kiteboarding community.",Kitesurfing,Water Sports,claudialeonkitesurf,ClaudiaLeonKiteboarding,🏄‍♂️ Strive to become the world champion in kitesurfing and reach the top of the sport!,claudialeonkiteboarding,,,,https://media.peaxel.me/78.png,https://media.peaxel.me/77.png,Duotone Kiteboarding,Los Narejos,Junior World Champion (4 times),4th place in GKA Kite World Tour freestyle women's division,Winner of GKA event in Saudi Arabia (2022),Vice world champion (2025),,🇪🇸 Spain,2001-08-31,https://media.peaxel.me/claudialeonkitesurf.mp4
danny_fray,"Danny Fray, born in Münster, North Rhine-Westphalia, Germany, is a professional wrestler known for his imposing stature and powerhouse style. Standing at 6 feet 5 inches (195 cm) and weighing 242 pounds (110 kg), he began his wrestling career on November 28, 2021, after training at the wXw Wrestling Academy under the guidance of Robert Dreissker and The Rotation. Danny has competed primarily in Westside Xtreme Wrestling (wXw), participating in various events and matches, including singles and tag team competitions. He has faced notable opponents such as Robert Dreissker, Nick Schreier, and Tristan Archer. Danny's wrestling style is characterized by powerful moves like the Big Boot, Black Hole Slam, Samoan Drop, and Sidewalk Slam. His dedication to the sport and continuous improvement have made him a rising talent in the German wrestling scene.",Wrestling,Fight Sports,danny_fray,,⭐ Be The Best In Wrestling,,,danny_fray_pw,,https://media.peaxel.me/130.png,https://media.peaxel.me/129.png,wXw Wrestling Academy,Münster,"Debuted in professional wrestling – November 28, 2021","Competed in wXw We Love Wrestling #39 – October 22, 2022","Faced Robert Dreissker at wXw Fight Forever #2 – November 13, 2022","Participated in wXw Inner Circle 15 – March 7, 2024","Contested for the wXw Academy Title – October 4, 2023",🇩🇪 Germany,1985-08-19,
DarioCabanelas,"Dario Cabanelas, born in 2006, is a Swiss racing driver with Spanish and Ukrainian heritage. He began his motorsport journey in karting, achieving notable success, including a victory in the Vega Trofeo and a third-place finish in the Swiss OK Junior Championship in 2020. Transitioning to single-seaters, Dario competed in the French Formula 4 Championship, finishing 8th in 2021 and securing two podiums to place 9th in 2022. In October 2023, he debuted in the Eurocup-3 series with Saintéloc Racing, participating in the final three rounds and consistently finishing in the top ten. Impressed by his performance, MP Motorsport signed him for the 2024 Eurocup-3 season, where he joined a competitive lineup alongside drivers like Bruno Del Pino and Emerson Fittipaldi Jr. Dario's progression through the racing ranks highlights his dedication and potential in motorsport.",Car racing,Motor Sports,DarioCabanelas,,⭐ Be The Best In Car racing,,,,,https://media.peaxel.me/134.png,https://media.peaxel.me/133.png,MP Motorsport,Lausanne,Vega Trofeo Winner – 2020,3rd Place in Swiss OK Junior Championship – 2020,8th Place in French Formula 4 Championship – 2021,9th Place with Two Podiums in French Formula 4 Championship – 2022,Top Ten Finishes in Eurocup-3 Debut – October 2023,🇨🇭 Switzerland,2006-07-21,https://media.peaxel.me/DarioCabanelas.mp4
domikiger,"Domitille Kiger is a renowned French skydiver and freefly world champion. She began skydiving at the age of 15 and quickly developed a passion for the sport. Over the years, Domitille has achieved significant milestones, including multiple world championships in freefly. She is also a motivational speaker, sharing her experiences and insights on leadership, risk management, and empowerment. In addition to her athletic achievements, Domitille co-founded zerOGravity, an indoor skydiving center in Poitiers, France, in 2020. Her dedication to the sport and her efforts to inspire others have made her a prominent figure in the skydiving community.",Skydiving,Extreme Sports,domikiger,,,,,,,https://media.peaxel.me/14.png,https://media.peaxel.me/13.png,zerOGravity,Poitiers,World Champion in Freefly,Organizer of large formation skydiving records,Co-founder of zerOGravity indoor skydiving center,French National Freefly Champion,,🇫🇷 France,1984-12-21,https://media.peaxel.me/domikiger.mp4
dottmarcofilisetti,"Marco Filisetti, born on May 4, 1993, in Mede, Lombardy, Italy, is an Italian athlete who has transitioned from professional road cycling to motocross. During his cycling career, he competed for the Marchiol - Emisfero team in 2014, participating in various races, though he did not secure notable finishes. After his stint in cycling, Marco shifted his focus to motocross, applying his athletic skills to this high-adrenaline sport. While specific details about his motocross career are limited, his background in competitive cycling suggests a strong foundation in endurance and discipline.",Motocross,Motor Sports,dott.marcofilisetti,,🏍️ Compete in a motocross championship in the coming years and aim for top performance!,,,,,https://media.peaxel.me/118.png,https://media.peaxel.me/117.png,,Mede,Professional Road Cyclist 2014,,,,,🇮🇹 Italy,1993-05-04,
